"relative_path","bytes","mb","modified","is_bulk_or_generated"
"autoname.py","5398","0.005","2026-06-23 20:31:43","False"
"billtipTrainerGUI.py","68450","0.065","2026-06-30 03:33:20","False"
"canon.txt","30939","0.03","2026-07-02 17:53:44","False"
"cleanup.py","13416","0.013","2026-06-18 22:50:49","False"
"cleanupGUI.py","173127","0.165","2026-06-24 12:15:00","False"
"HBMR.bat","783","0.001","2026-06-25 20:57:39","False"
"hbmr-env\Lib\site-packages\annotated_doc\main.py","1075","0.001","2026-06-25 20:57:57","True"
"hbmr-env\Lib\site-packages\dotenv\main.py","14683","0.014","2026-06-25 20:56:52","True"
"hbmr-env\Lib\site-packages\markdown_it\main.py","12759","0.012","2026-06-25 20:58:36","True"
"hbmr-env\Lib\site-packages\numba\testing\main.py","32447","0.031","2026-06-25 22:26:24","True"
"hbmr-env\Lib\site-packages\pip\_internal\cli\main.py","3137","0.003","2026-06-25 20:53:21","True"
"hbmr-env\Lib\site-packages\pip\_internal\main.py","338","0","2026-06-25 20:53:21","True"
"hbmr-env\Lib\site-packages\polars\testing\parametric\profiles.py","3675","0.004","2026-06-25 20:58:27","True"
"hbmr-env\Lib\site-packages\PW_FT_classification\main.py","7930","0.008","2026-06-25 22:00:15","True"
"hbmr-env\Lib\site-packages\pydantic\main.py","85334","0.081","2026-06-25 21:58:24","True"
"hbmr-env\Lib\site-packages\pydantic\v1\main.py","45697","0.044","2026-06-25 21:58:24","True"
"hbmr-env\Lib\site-packages\scipy\_lib\cobyqa\main.py","59033","0.056","2026-06-25 20:58:05","True"
"hbmr-env\Lib\site-packages\tensorboard\main.py","1667","0.002","2026-06-25 21:58:02","True"
"hbmr-env\Lib\site-packages\typer\main.py","69010","0.066","2026-06-25 21:53:53","True"
"hbmr-env\Lib\site-packages\uvicorn\main.py","18785","0.018","2026-06-25 20:58:43","True"
"main.py","20866","0.02","2026-06-26 00:38:23","False"
"megadetector.py","9506","0.009","2026-06-29 22:19:19","False"
"mmpose\autorefineGUI.py","37746","0.036","2026-06-25 20:05:52","False"
"mmpose\autosortGUI.py","32401","0.031","2026-06-26 00:00:46","False"
"mmpose\billtipTrainerGUI.py","68347","0.065","2026-06-30 02:43:32","False"
"mmpose\mmposeGUI.py","44576","0.043","2026-06-25 19:23:19","False"
"profiles.py","21229","0.02","2026-06-23 20:22:12","False"
"review.py","9538","0.009","2026-06-18 23:16:30","False"
"run.bat","42","0","2026-06-18 16:34:19","False"
"settings.ini","1602","0.002","2026-06-20 00:46:05","False"
"speciesid.py","44159","0.042","2026-06-22 22:32:00","False"
"speciesnet-env\Lib\site-packages\annotated_doc\main.py","1075","0.001","2026-06-20 00:42:53","True"
"speciesnet-env\Lib\site-packages\dotenv\main.py","14683","0.014","2026-06-20 00:42:05","True"
"speciesnet-env\Lib\site-packages\markdown_it\main.py","12759","0.012","2026-06-20 00:43:27","True"
"speciesnet-env\Lib\site-packages\pip\_internal\cli\main.py","3137","0.003","2026-06-20 00:38:23","True"
"speciesnet-env\Lib\site-packages\pip\_internal\main.py","338","0","2026-06-20 00:38:23","True"
"speciesnet-env\Lib\site-packages\scipy\_external\cobyqa\main.py","59033","0.056","2026-06-20 00:43:01","True"
"speciesnet-env\Lib\site-packages\tensorboard\main.py","1667","0.002","2026-06-20 00:45:11","True"
"speciesnet-env\Lib\site-packages\typer\main.py","69010","0.066","2026-06-20 00:46:39","True"
"visualid.py","6551","0.006","2026-06-20 00:17:25","False"
